siteID,submission_dt,date,bandNumber,type,status,notes,delete_flag
BUISNORVA1,,2010-02-27,2411-37112,P,alive,"yearColumn = 2009, banded 6/7/2009; yearColumn = 2010, resighted by participant 5/29/10; yearColumn = 2011, resighted by participant 02/27/2011",0
BUISNORVA1,,2010-02-27,2590-82207,P,alive,"yearColumn = 2009, banded 6/7/2009; yearColumn = 2010, resighted by participant 02/27/2011",0
PERRCHRMD1,,2010-02-28,2301-56601,P,alive,"yearColumn = 2008, banded_5/28/08; yearColumn = 2009, resighted by participant 8 August; yearColumn = 2010, resighted by participant 28 Feb; resight 7/7; yearColumn = 2012, resighted by participant 03/15/2012",0
NZPEDZODC1,,2010-03-01,2441-14217,P,alive,"yearColumn = 2009, banded 7/20; yearColumn = 2010, resighted by participant 1 March",0
MILLPAUMD1,,2010-03-15,2251-80495,P,alive,"yearColumn = 2007, banded 20 june; yearColumn = 2008, recaptured 1 July; yearColumn = 2010, resighted by neighbor",0
TATEJUAMD1,,2010-03-15,1202-99042,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015",0
LANDCELVA1,,2010-03-19,2281-69118,P,alive,"yearColumn = 2007, banded 7-Jul; yearColumn = 2009, resighted by participant 14 November; yearColumn = 2010, resighted by participant 19 March, 21 April; 24 June; resighted 6/4",0
LANDCELVA1,,2010-03-19,2441-14124,P,alive,"yearColumn = 2009, Banded 6/20/2009; yearColumn = 2010, resighted by participant 19 March",0
LANDCELVA1,,2010-03-20,1292-64325,P,alive,"yearColumn = 2009, Banded 6/20/2009; resighted by participant 24 June; yearColumn = 2010, resighted by participant 20 March; 15, 23 April. resighted 6/4",0
RAUNERIMD1,,2010-03-20,1991-46150,P,alive,"yearColumn = 2007, banded 6 july; yearColumn = 2008, resighted 6 April by participant; yearColumn = 2009, resighted by partic
ipant 22 February. Resighted by JLD 22-Jul; yearColumn = 2010, resighted by participant 20 March; 15 Jan 2011",0
STEWBETMD1,,2010-03-20,2540-62885,P,found dead,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, found dead in nest box by participant 20 march",0
STEWBETMD1,,2010-03-21,2301-56641,P,alive,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted 21 march by participant; resighted 6/5/2010; yearColumn = 2011, resighted by participant 01/14/2012; yearColumn = 2012, resighted by participant 6 May",0
NZPEDZODC1,,2010-03-22,1272-42403,P,found dead,"yearColumn = 2009, banded 2 May; yearColumn = 2010, found dead at zoo 22 March",0
PERNMIKMD1,,2010-03-26,2241-17609,P,alive,"yearColumn = 2005, banded 18 May; yearColumn = 2009, recaught 7/3; yearColumn = 2010, resighted by participant 26 March",0
WOODPAUVA1,,2010-03-26,2490-86325,P,found dead,"yearColumn = 2008, banded by participant, rebanded; yearColumn = 2009, resighted by participant 5 June; yearColumn = 2010, resighted by participant 26 March; found dead by participant 7 Oct.",0
MCDOELIVA1,,2010-03-27,1232-88302,P,alive,"yearColumn = 2007, Banded 12 July; yearColumn = 2008, resighted by participant 2 april; yearColumn = 2009, resighted by AJR 7/29/09; yearColumn = 2010, resighted by participant 27 March, resighted 7/17/10; yearColumn = 2012, resighted by kam 6/4/2012; yearColumn = 2013, resighted by LF 6/16/2013",0
WOODPAUVA1,,2010-03-27,2301-08219,P,alive,"yearColumn = 2007, banded by participant 1/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 10,25 March; 20 May; yearColumn = 2010, resighted by participant 27 March; 7 June",0
KNIGSALVA1,,2010-04-01,2341-30134,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April",0
WARDDOUVA1,,2010-04-03,2441-14133,P,alive,"yearColumn = 2009, Banded 6/28/2009; yearColumn = 2010, resighted by participant 3 April; recap 6/5; yearColumn = 2012, resighted 6/28; yearColumn = 2013, resighted by participant 17 April",0
WARDDOUVA1,,2010-04-04,2411-37377,P,alive,"yearColumn = 2009, Banded 6/28/2009; yearColumn = 2010, resighted by participant 4 April",0
LANDCELVA1,,2010-04-05,2301-56632,P,alive,"yearColumn = 2008, banded_7/1/08; yearColumn = 2009, resighted by participant 2 July; yearColumn = 2010, resighted by participant 5, 9 April; 10 July; yearColumn = 2011, resighted by participant 07/06/2011",0
WARDDOUVA1,,2010-04-05,742-29177,P,alive,"yearColumn = 2008, banded 5 july; yearColumn = 2009, resighted 14 March by participant; yearColumn = 2010, resighted by participant 5 April; yearColumn = 2011, resighted by participant 27 Feb",0
MCDOELIVA1,,2010-04-08,2341-29316,P,alive,"yearColumn = 2008, Banded June 29; yearColumn = 2010, resighted by particpant 8 April, recaptured 7/17/10",0
LANDCELVA1,,2010-04-09,2301-56632,P,alive,"yearColumn = 2008, banded_7/1/08; yearColumn = 2009, resighted by participant 2 July; yearColumn = 2010, resighted by participant 5, 9 April; 10 July; yearColumn = 2011, resighted by participant 07/06/2011",0
STURCARMD1,,2010-04-10,742-29175,P,alive,"yearColumn = 2008, banded 2 july; yearColumn = 2010, resighted by participant 10 April",0
KNIGSALVA1,,2010-04-11,2411-37164,P,alive,"yearColumn = 2009, banded 7/13; yearColumn = 2010, resighted by participant 11 April",0
LINDHANMD1,,2010-04-12,2301-56089,P,alive,"yearColumn = 2008, banded_7/19; yearColumn = 2009, Recap. 6/23/2009; yearColumn = 2010, resighted by participant 4/12/10",0
FUISLISVA1,,2010-04-15,2411-37730,P,alive,"yearColumn = 2009, banded 6/11/09; yearColumn = 2010, resighted spring 2010 by participant; yearColumn = 2011, resighted by participant 06/29/2011",0
GELLNERMD1,,2010-04-15,2441-14046,P,alive,"yearColumn = 2009, banded 7/8/2009; yearColumn = 2010, resighted by participant in spring 2010",0
KEYESUSMD1,,2010-04-15,2590-82542,P,alive,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 15 April, 7 June, 10/10/10",0
LANDCELVA1,,2010-04-15,1292-64325,P,alive,"yearColumn = 2009, Banded 6/20/2009; resighted by participant 24 June; yearColumn = 2010, resighted by participant 20 March; 15, 23 April. resighted 6/4",0
VERSBETMD2,,2010-04-15,2441-14041,P,alive,"yearColumn = 2009, banded 7/2/2009; yearColumn = 2010, resighted by participant 9x 08/09-04/10; resighted 5/29/2010
; yearColumn = 2014, resighted 6/21/2014",0
FISHFERVA1,,2010-04-16,2411-37711,P,alive,"yearColumn = 2009, banded 5/30/09; yearColumn = 2010, resighted by participant 16 april, resighted 7/3/10; yearColumn = 2011, resighted by participant 16 March, may10",0
FISHFERVA1,,2010-04-16,2510-03826,P,alive,"yearColumn = 2008, Banded June 22; yearColumn = 2009, resighted by participant 31 March; yearColumn = 2010, resighted by participant 16 April; yearColumn = 2011, resighted by participant 16 March, May 10; yearColumn = 2012, Recapture 5/26/2012; yearColumn = 2013, resighted by participant in april, recaptured 5/6/2013",0
KNIGSALVA1,,2010-04-16,2341-30134,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April",0
RAUNERIMD1,,2010-04-18,2441-15009,P,alive,"yearColumn = 2009, Banded 5/11/2009; yearColumn = 2010, resighted by participant 18 April; yearColumn = 2011, resighted by participant 26 Feb",0
LANDCELVA1,,2010-04-21,2281-69118,P,alive,"yearColumn = 2007, banded 7-Jul; yearColumn = 2009, resighted by participant 14 November; yearColumn = 2010, resighted by participant 19 March, 21 April; 24 June; resighted 6/4",0
LANDCELVA1,,2010-04-23,1292-64323,P,alive,"yearColumn = 2009, Banded 6/20/2009; yearColumn = 2010, resighted by participant 23 April",0
LANDCELVA1,,2010-04-23,1292-64325,P,alive,"yearColumn = 2009, Banded 6/20/2009; resighted by participant 24 June; yearColumn = 2010, resighted by participant 20 March; 15, 23 April. resighted 6/4",0
STURCARMD1,,2010-04-24,2400-00690,P,alive,"yearColumn = 2007, banded 31 May; yearColumn = 2009, resighted 7/3; yearColumn = 2010, resighted by participant 24 April; yearColumn = 2011, Resighted by participant; yearColumn = 2012, Resighted by participant; yearColumn = 2013, resighted by participant 4 June",0
GARDVALMD1,,2010-04-26,1891-87400,P,alive,"yearColumn = 2004, banded 21 June; yearColumn = 2010, resighted?? by participant 26 april",0
STURCARMD1,,2010-04-28,1951-41073,P,alive,"yearColumn = 2007, Banded 31 May; yearColumn = 2009, resighted 7/3; yearColumn = 2010, resighted by participant 28 April",0
STURCARMD1,,2010-04-28,2590-82319,P,alive,"yearColumn = 2009, banded 7/3; yearColumn = 2010, resighted by participant 28 April; recpatured 6/1",0
STEWBETMD1,,2010-04-29,2301-56637,P,alive,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted by participant 29 April; recaptured 6/5/2010",0
WARDDOUVA1,,2010-05-01,1991-46192,P,alive,"yearColumn = 2008, banded 5 july; yearColumn = 2009, Resighted by participant and Recap 6/28/2009; yearColumn = 2010, resighted by participant 1 May; recap 6/5; yearColumn = 2011, resighted by participant 25 April",0
WARDDOUVA1,,2010-05-02,742-29178,P,alive,"yearColumn = 2008, banded 5 july; yearColumn = 2010, resighted by participant 2 May",0
COLSKATMD1,,2010-05-08,2441-13701,P,alive,"yearColumn = 2009, banded 5/29/2009; yearColumn = 2010, resighted by participant 8 May",0
COLSKATMD1,,2010-05-08,2460-22747,P,alive,"yearColumn = 2008, banded 17 June; yearColumn = 2009, resighted 5/29/2009; yearColumn = 2010, resighted by participant 8 May, resighted during NW visit 6/30; yearColumn = 2011, resighted by participant 15 March, 09/19/2011; yearColumn = 2013, resighted by participant 15 August",0
WARDDOUVA1,,2010-05-09,2251-80310,P,alive,"yearColumn = 2008, banded 5 july; yearColumn = 2009, resighted 4 June by participant. Recap 6/28/2009; yearColumn = 2010, resighted 9 May by participant; yearColumn = 2014, Recaptured, 4/12/14",0
BARBJERMD1,,2010-05-10,1801-09699,P,alive,"yearColumn = 2002, banded 18 Sept; yearColumn = 2010, resighted by participant  10 May",0
TATEJUAMD1,,2010-05-11,2411-37760,P,alive,"yearColumn = 2009, banded 6/29/09; yearColumn = 2010, resighted by participant 11 May, 8 June; yearColumn = 2011, resighted by participant 04/24/2011, 05/11/2011, 06/14/2011, 09/28/2011; yearColumn = 2012, resighted by participant 28 april; 06/28/2012; yearColumn = 2013, resighted",0
WILDANNVA1,,2010-05-11,2341-30315,P,found dead,"yearColumn = 2008, banded 26 June; yearColumn = 2009, Recap 7/2/2009; yearColumn = 2010, resighted by participant- died 5/11/10",0
STEWBETMD1,,2010-05-13,2301-56503,P,alive,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, resighted by participant 13 May, 5 June; yearColumn = 2011, resighted by participant 06/16/2011",0
STEWBETMD1,,2010-05-13,2540-62887,P,alive,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, resighted by participant 13 May, 5 June; 26 Sept; resighted 6/5/2010",0
TATEJUAMD1,,2010-05-13,2411-37756,P,alive,"yearColumn = 2009, BANDED 6/29/09; yearColumn = 2010, resighted by participant 13 may; yearColumn = 2011, resighted by participant 05/04/2011; yearColumn = 2013, .resighted by participant 7/5/2013",0
TATEJUAMD1,,2010-05-14,2301-55943,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant 2 May; yearColumn = 2010, resighted by participant 14 May",0
GARDVALMD1,,2010-05-15,2510-04207,P,alive,"yearColumn = 2007, banded 14 June; yearColumn = 2010, resighted by participant 15 May",0
KEYESUSMD1,,2010-05-15,2411-37256,P,alive,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 15 May",0
ODELVINMD2,,2010-05-16,2540-62858,P,alive,"yearColumn = 2008, banded_7/30/2008; yearColumn = 2009, recaught 6/11/09; yearColumn = 2010, resighted by participant 16 May",0
ODELVINMD2,,2010-05-16,2590-82213,P,alive,"yearColumn = 2009, banded 6/11/09; yearColumn = 2010, resighted by participant 16 May. Recap 6/28/10",0
KEYESUSMD1,,2010-05-17,2411-37260,P,alive,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 17 May, 14 June; yearColumn = 2011, resighted by participant 5/1/11, 6/17/11; yearColumn = 2012, resighted by participant 1/3/12, 5/1/12; yearColumn = 2013, reisighted by participant 5/5/2013",0
NEWBCARVA1,,2010-05-17,2590-82523,P,alive,"yearColumn = 2009, banded 5/22/2009; yearColumn = 2010, resighted by participant 17 May",0
TATEJUAMD1,,2010-05-22,2411-37754,P,alive,"yearColumn = 2009, banded 6/29/2009; yearColumn = 2010, resighted by participant 22 May. RS 6/22; yearColumn = 2011, resighted by participant 05/19/2011, 06/03/2011, 08/05/2011; yearColumn = 2012, resighted by participant 17 June; 07/02/2012; yearColumn = 2013, resighted by participant 7/8/2013.",0
BARBJERMD1,,2010-05-25,2460-22920,P,alive,"yearColumn = 2007, banded 27 June; yearColumn = 2009, resighted by participant 25 april recapture 13 Jul; yearColumn = 2010, resighted by participant 25 May, recap 7/2/10; yearColumn = 2011, resighted by participant 25 April",0
SULLPAUVA1,,2010-05-25,1891-87392,P,alive,"yearColumn = 2004, banded 14 June; yearColumn = 2010, resight in Arlington 25 May. See Report to Bander 9/28/13",0
FISHFERVA1,,2010-05-26,2411-37713,P,alive,"yearColumn = 2009, banded 5/30/09; yearColumn = 2010, resighted by participant 26 May, resighted 7/3/10; yearColumn = 2011, resighted by participant 16 March, 10 May",0
BUISNORVA1,,2010-05-29,2411-37112,P,alive,"yearColumn = 2009, banded 6/7/2009; yearColumn = 2010, resighted by participant 5/29/10; yearColumn = 2011, resighted by participant 02/27/2011",0
BUISNORVA1,,2010-05-29,2510-03833,P,alive,"yearColumn = 2008, Banded July 13; yearColumn = 2009, resighted by participant 28 March; yearColumn = 2010, resighted by participant 5/29/10",0
VERSBETMD2,,2010-05-29,2540-62817,P,alive,"yearColumn = 2008, banded_6/11/08; yearColumn = 2009, resighted by participant 4 April, 2 Jul; yearColumn = 2010, resighted by participant 5/29/2010; yearColumn = 2012, resighted 6/7/2012; yearColumn = 2013, resighted 6/2013; yearColumn = 2014, resighted 3/31/14 by tech",0
BOONGREMD1,,2010-05-31,2441-14006,P,alive,"yearColumn = 2009, banded 5/18/2009; yearColumn = 2010, resighted by participant 31 May; recap 6/4",0
OBRICHRMD1,,2010-06-02,2590-82317,P,alive,"yearColumn = 2009, banded 6/30; yearColumn = 2010, resighted by participant 2 June; yearColumn = 2012, Resighted 6/2/2012",0
STEWBETMD1,,2010-06-05,2301-56503,P,alive,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, resighted by participant 13 May, 5 June; yearColumn = 2011, resighted by participant 06/16/2011",0
WARDDOUVA1,,2010-06-05,2411-37389,P,alive,"yearColumn = 2009, Banded 7/3/2009; yearColumn = 2010, resighted by participant 5 June",0
KEYESUSMD1,,2010-06-07,2590-82542,P,alive,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 15 April, 7 June, 10/10/10",0
WOODPAUVA1,,2010-06-07,2301-08219,P,alive,"yearColumn = 2007, banded by participant 1/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 10,25 March; 20 May; yearColumn = 2010, resighted by participant 27 March; 7 June",0
TATEJUAMD1,,2010-06-08,2411-37760,P,alive,"yearColumn = 2009, banded 6/29/09; yearColumn = 2010, resighted by participant 11 May, 8 June; yearColumn = 2011, resighted by participant 04/24/2011, 05/11/2011, 06/14/2011, 09/28/2011; yearColumn = 2012, resighted by participant 28 april; 06/28/2012; yearColumn = 2013, resighted",0
SANFCARMD1,,2010-06-09,2411-37108,P,alive,"yearColumn = 2009, banded 6/6/09; yearColumn = 2010, resighted 6/9/10 by participant; missing black band; yearColumn = 2012, recaptured 5/30/2012",0
COLSKATMD1,,2010-06-10,2251-80751,P,alive,"yearColumn = 2006, banded July 4; yearColumn = 2010, resighted by participant 10 June",0
LANDCELVA1,,2010-06-11,2590-82419,P,alive,"yearColumn = 2009, Banded 6/20/2009; yearColumn = 2010, resighted by participant 11 June",0
OMLAKEVMD1,,2010-06-12,1920-85967,P,alive,"yearColumn = 2000, banded 24 July; yearColumn = 2001, resighted fall 2001 by participant; yearColumn = 2003, Resight 1 May by participant; yearColumn = 2004, resighted 7 June; yearColumn = 2005, resighted by participant 7 July; yearColumn = 2010, resighted 6/12/10",0
OMLAKEVMD1,,2010-06-12,2301-56008,P,alive,"yearColumn = 2007, banded 16 June; yearColumn = 2010, resighted 6/12/10",0
KEYESUSMD1,,2010-06-14,2411-37260,P,alive,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 17 May, 14 June; yearColumn = 2011, resighted by participant 5/1/11, 6/17/11; yearColumn = 2012, resighted by participant 1/3/12, 5/1/12; yearColumn = 2013, reisighted by participant 5/5/2013",0
BARNDORMD1,,2010-06-16,2411-37303,P,alive,"yearColumn = 2009, Banded 5/22/2009; yearColumn = 2010, resighted 6/16/10 by P. Marra",0
TATEJUAMD1,,2010-06-16,2251-80712,P,alive,"yearColumn = 2006, banded May 27; yearColumn = 2007, resighted 6/27/07.; yearColumn = 2008, resighted by participant 4 May; yearColumn = 2010, resighted by participant 16 June",0
LANDCELVA1,,2010-06-18,2441-14123,P,alive,"yearColumn = 2009, Banded 6/20/2009; yearColumn = 2010, resighted 6/4/10; resighted by participant 18 June",0
NEWBCARVA1,,2010-06-19,2281-69427,P,alive,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 27 December.; yearColumn = 2009, resighted by participant 18 December.; yearColumn = 2010, resighted by participant 6/19/10",0
TATEJUAMD1,,2010-06-22,1202-99041,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, RESIGHTED BY PARTICIPANT 6/12/09; yearColumn = 2010, resighted by participant 22 June",0
GECACARVA1,,2010-06-23,2590-82407,P,alive,"yearColumn = 2009, Banded 5/30/2009; yearColumn = 2010, resighted by participant 23 June; resighted 7/2; yearColumn = 2011, resighted by participant 03/20/2011; 4/26; 05/30; yearColumn = 2012, resighted by participant 04/02/2012",0
SALAJENMD1,,2010-06-23,2301-56809,P,alive,"yearColumn = 2008, banded 6/9; yearColumn = 2009, resighted 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug",0
SALAJENMD1,,2010-06-23,2411-37423,P,alive,"yearColumn = 2009, banded 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug",0
LANDCELVA1,,2010-06-24,2281-69118,P,alive,"yearColumn = 2007, banded 7-Jul; yearColumn = 2009, resighted by participant 14 November; yearColumn = 2010, resighted by participant 19 March, 21 April; 24 June; resighted 6/4",0
BALASUCMD1,,2010-07-15,1232-87913,P,alive,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant; yearColumn = 2010, Resight by participant Summer 2010; yearColumn = 2011, resighted by participant 20 March; yearColumn = 2012, resighted by participant 3/5, 4/7, 6/7.",0
CONAGAIMD1,,2010-07-24,2411-37364,P,alive,"yearColumn = 2009, Banded 6/24/2009; yearColumn = 2010, resighted by participant 24 July",0
SALAJENMD1,,2010-07-24,2301-56809,P,alive,"yearColumn = 2008, banded 6/9; yearColumn = 2009, resighted 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug",0
SALAJENMD1,,2010-07-24,2411-37423,P,alive,"yearColumn = 2009, banded 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug",0
SALAJENMD1,,2010-07-24,2411-37422,P,alive,"yearColumn = 2009, banded 7/9; yearColumn = 2010, resighted by participant 24 July",0
SALAJENMD1,,2010-08-21,2301-56809,P,alive,"yearColumn = 2008, banded 6/9; yearColumn = 2009, resighted 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug",0
SALAJENMD1,,2010-08-21,2411-37423,P,alive,"yearColumn = 2009, banded 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug",0
CAMPROSMD1,,2010-08-31,2590-82534,P,alive,"yearColumn = 2009, banded 5/29/2009; yearColumn = 2010, resighted by neighbor 31 Aug; yearColumn = 2012, Recaptured 5/19/2012",0
FARYSIMMD1,,2010-09-06,2301-55938,P,alive,"yearColumn = 2008, banded 13 June; yearColumn = 2010, resighted at Barnes 5/14; resighted by participant 6 Sept",0
BARBJERMD1,,2010-09-07,2590-82582,P,alive,"yearColumn = 2009, banded 7/13/2009; yearColumn = 2010, resighted by participant 7 Sept",0
STEWBETMD1,,2010-09-26,2281-69406,P,alive,"yearColumn = 2007, Banded June 15; yearColumn = 2008, resighted by participant 13 April, recaptured 7/8/08; yearColumn = 2009, resighted by participant 5 april Recap 5/13/2009; yearColumn = 2010, resighted 6/5/2010; by participant 26 sept.; yearColumn = 2013, resighted by participant 28 April",0
STEWBETMD1,,2010-09-26,2540-62887,P,alive,"yearColumn = 2009, Banded 5/13/2009; yearColumn = 2010, resighted by participant 13 May, 5 June; 26 Sept; resighted 6/5/2010",0
TATEJUAMD1,,2010-09-28,2441-15029,P,alive,"yearColumn = 2009, banded 6/29/2009; yearColumn = 2010, resighted by participant 28 Sept.",0
WOODPAUVA1,,2010-10-07,2490-86325,P,found dead,"yearColumn = 2008, banded by participant, rebanded; yearColumn = 2009, resighted by participant 5 June; yearColumn = 2010, resighted by participant 26 March; found dead by participant 7 Oct.",0
KEYESUSMD1,,2010-10-10,2590-82542,P,alive,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 15 April, 7 June, 10/10/10",0
HITCHBJMD1,,2010-11-09,2411-37128,P,alive,"yearColumn = 2009, banded 6/19/2009; yearColumn = 2010, resighted by participant 11-09-2010",0
BUISNORVA1,,2010-11-13,1991-21136,P,alive,"yearColumn = 2007, Banded 30 June; yearColumn = 2009, resighted by participant 13 Feb, 28 march; yearColumn = 2010, resighted by participant 11-13-2010",0
BUISNORVA1,,2010-11-13,2590-82208,P,alive,"yearColumn = 2009, banded 6/7/2009; yearColumn = 2010, resighted by participant 11-13-2010",0
MORRCHRVA1,,2010-12-10,2590-82567,P,alive,"yearColumn = 2009, banded 7/6/2009; yearColumn = 2010, recaptured 6/30/2010; resighted by participant 10 Dec; yearColumn = 2012, resighted by participant 21May",0
GECACARVA1,,2010-12-18,2261-38333,P,alive,"yearColumn = 2007, banded 13-Jul; yearColumn = 2010, resighted by participant 12/18/2010; 1/1/2011; yearColumn = 2011, resighted by neighbor 5/20",0
GECACARVA1,,2010-12-18,2441-14108,P,alive,"yearColumn = 2009, Banded 5/30/2009; yearColumn = 2010, resighted 7/2/2010; resighted by participant 18 Dec; 1/2/2011; yearColumn = 2011, resighted by participant 2/11/2012; yearColumn = 2012, Resight 6/26/2012,
resighted by participant 04/02/2012; yearColumn = 2013, Recapture 7/10/2013",0
NEWBCARVA1,,2010-12-23,2590-82524,P,alive,"yearColumn = 2009, banded 5/22/2009; yearColumn = 2010, resighted by participant 23 Dec",0
NEWBCARVA1,,2010-12-23,2590-82525,P,alive,"yearColumn = 2009, banded 5/22/2009; yearColumn = 2010, resighted by participant 23 Dec",0
KEYESUSMD1,,2011-01-03,2411-37260,P,alive,"yearColumn = 2009, Banded 6/2/2009; yearColumn = 2010, resighted by participant 17 May, 14 June; yearColumn = 2011, resighted by participant 5/1/11, 6/17/11; yearColumn = 2012, resighted by participant 1/3/12, 5/1/12; yearColumn = 2013, reisighted by participant 5/5/2013",0
NEWBCARVA1,,2011-01-10,2510-04318,P,alive,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by particpant 11 June. recap July 11, 2008; yearColumn = 2011, Killed by cat in Deltona, Florida 10 January",0
STEWBETMD1,,2011-01-14,2301-56641,P,alive,"yearColumn = 2008, banded_7/8/08; yearColumn = 2010, resighted 21 march by participant; resighted 6/5/2010; yearColumn = 2011, resighted by participant 01/14/2012; yearColumn = 2012, resighted by participant 6 May",0
WOODPAUVA1,,2011-01-24,841-76358,P,alive,"yearColumn = 2007, aluminum banded by woodward as HY.; yearColumn = 2009, color banded 5/19/2009.; yearColumn = 2010, resighted by participants 24 March; 31 Dec; recapped by participant with brood patch 3 July; yearColumn = 2011, resighted by participant 24 Jan, 17 May, Oct. 13",0
GECACARVA1,,2011-02-11,2441-14108,P,alive,"yearColumn = 2009, Banded 5/30/2009; yearColumn = 2010, resighted 7/2/2010; resighted by participant 18 Dec; 1/2/2011; yearColumn = 2011, resighted by participant 2/11/2012; yearColumn = 2012, Resight 6/26/2012,
resighted by participant 04/02/2012; yearColumn = 2013, Recapture 7/10/2013",0
GECACARVA1,,2011-02-11,2460-22847,P,alive,"yearColumn = 2007, banded 13-Jul; yearColumn = 2008, resighted by particpant 1 march, resighted by bander June 18; yearColumn = 2009, resighted by participant in the fall; yearColumn = 2011, resighted by participant 2/11/12",0
VONGJENMD1,,2011-02-19,2251-80327,P,alive,"yearColumn = 2010, banded 5/10; resighted by participant 15 June, 19 July, 22 aug, 16 Dec; yearColumn = 2011, resighted by participant 13 March; yearColumn = 2012, resighted by participant 02/19/2012",0
VONGJENMD1,,2011-02-19,2251-80329,P,alive,"yearColumn = 2010, banded 5/10; yearColumn = 2011, resighted by participant 13 March; 29 April; yearColumn = 2012, resighted by participant 02/19/2012; 07/17/2012",0
VONGJENMD1,,2011-02-19,2411-37988,P,alive,"yearColumn = 2010, banded 5/10; resighted by participant  19 July, 7 Sept, 16 Dec; yearColumn = 2011, resighted by participant 13 March; 29 April; yearColumn = 2012, resighted by participant 02/19/2012",0
VONGJENMD1,,2011-02-19,2441-14203,P,alive,"yearColumn = 2009, banded 6/23; yearColumn = 2010, recaptured 5/10; resighted by participant 10 April; 8 June, 22 Aug, 16 Dec; yearColumn = 2011, resighted by participant 13 March; 29 April; yearColumn = 2012, resighted by participant 02/19/2012; 07/17/2012",0
RAUNERIMD1,,2011-02-26,2441-15009,P,alive,"yearColumn = 2009, Banded 5/11/2009; yearColumn = 2010, resighted by participant 18 April; yearColumn = 2011, resighted by participant 26 Feb",0
RAUNERIMD1,,2011-02-26,2251-80389,P,alive,"yearColumn = 2010, banded 7/26; resighted by participant 11 Dec.; yearColumn = 2011, resighted by participant 26 Feb",0
WARDDOUVA1,,2011-02-27,742-29177,P,alive,"yearColumn = 2008, banded 5 july; yearColumn = 2009, resighted 14 March by participant; yearColumn = 2010, resighted by participant 5 April; yearColumn = 2011, resighted by participant 27 Feb",0
BUISNORVA1,,2011-03-04,2510-03832,P,alive,"yearColumn = 2008, Banded July 13; yearColumn = 2011, resighted by participant 4 March",0
KNIGSALVA1,,2011-03-06,2421-11612,P,alive,"yearColumn = 2010, Captured 6/1/2010; resighted 6/28/10; resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March",0
KNIGSALVA1,,2011-03-06,2421-11614,P,alive,"yearColumn = 2010, Captured 6/1/2010; yearColumn = 2011, resighted by participant 6 March",0
KNIGSALVA1,,2011-03-06,2590-82234,P,alive,"yearColumn = 2009, banded 7/13; yearColumn = 2010, resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March",0
KNIGSALVA1,,2011-03-06,2610-37309,P,alive,"yearColumn = 2010, Captured 6/1/2010; resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March",0
KNIGSALVA1,,2011-03-06,2610-37312,P,alive,"yearColumn = 2010, Captured 6/1/2010; resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March",0
BARBJERMD1,,2011-03-09,2421-11758,P,alive,"yearColumn = 2010, banded 7/2/10; yearColumn = 2011, resighted by participant 9 March; 11 May",0
